,accession,gene
311,>XM_019475208.1,CAALFM_C202570WA
313,>XM_019475209.1,CAALFM_C202640CA
315,>XM_019475210.1,CAALFM_C202800WA
317,>XM_019475211.1,CAALFM_C202870WA
319,>XM_019475212.1,CAALFM_C202910WA
321,>XM_019475213.1,EFT2
323,>XM_019475214.1,CAALFM_C203210WA
325,>XM_019475215.1,COX6
327,>XM_019475216.1,RPL21A
329,>XM_019475217.1,RPS9B
331,>XM_019475218.1,INO4
333,>XM_019475219.1,CAALFM_C203880CA
335,>XM_019475220.1,RPL39
337,>XM_019475221.1,CAALFM_C203970WA
339,>XM_019475222.1,CAALFM_C204110WA
341,>XM_019475223.1,CAALFM_C204170CA
343,>XM_019475224.1,TAF14
345,>XM_019475225.1,CAALFM_C204280WA
347,>XM_019475226.1,QCR8
349,>XM_019475227.1,CAALFM_C204850CA
351,>XM_019475228.1,RHO3
353,>XM_019475229.1,WH11
355,>XM_019475230.1,CAALFM_C205300CA
357,>XM_019475231.1,CAALFM_C205410WA
359,>XM_019475232.1,CAALFM_C205480CA
361,>XM_019475233.1,CAALFM_C205520WA
363,>XM_019475234.1,CAALFM_C205540CA
365,>XM_019475235.1,KTI11
367,>XM_019475236.1,CAALFM_C205710CA
369,>XM_019475237.1,CAALFM_C205770WA
371,>XM_019475238.1,RFC1
373,>XM_019475239.1,CAALFM_C205870WA
375,>XM_019475240.1,CAALFM_C205900WA
377,>XM_019475241.1,COX8
379,>XM_019475242.1,COX9
381,>XM_019475243.1,SMD2
383,>XM_019475244.1,ATP14
385,>XM_019475245.1,IMH3
387,>XM_019475246.1,CAALFM_C206510WA
389,>XM_019475247.1,CAALFM_C206610CA
391,>XM_019475248.1,CAALFM_C206630CA
393,>XM_019475249.1,RPL11
395,>XM_019475250.1,CAALFM_C206850WA
397,>XM_019475251.1,CAALFM_C207010WA
399,>XM_019475252.1,CAALFM_C207530CA
401,>XM_019475253.1,RHO2
403,>XM_019475254.1,CAALFM_C207770CA
405,>XM_019475255.1,CAALFM_C207910CA
407,>XM_019475256.1,RPS10
409,>XM_019475257.1,CAALFM_C208060WA
411,>XM_019475258.1,MAF1
